Ticker_B3,Yahoo,Nome,Index_%,Ano_Inicial,Ano_Final,Preco_Inicial,Preco_Final,Ganho_Capital_%,Status
VALE3,VALE3.SA,VALE,14.246,2016,2024,6.779458,50.721115,648.1589,OK
PETR4,PETR4.SA,PETROBRAS PN,8.239,2016,2024,1.841433,33.523006,1720.485,OK
ITUB4,ITUB4.SA,ITAUUNIBANCO,6.517,2016,2024,9.291515,26.046288,180.3234,OK
PETR3,PETR3.SA,PETROBRAS ON,5.062,2016,2024,2.516689,36.686703,1357.7367,OK
BBDC4,BBDC4.SA,BRADESCO PN,3.669,2016,2024,5.627415,10.732788,90.7232,OK
BBAS3,BBAS3.SA,BANCO DO BRASIL,3.504,2016,2024,4.277117,23.574678,451.1815,OK
ELET3,ELET3.SA,ELETROBRAS ON,3.447,2016,2024,4.42098,32.106133,626.2221,OK
B3SA3,B3SA3.SA,B3,3.322,2016,2024,2.713614,10.203959,276.0284,OK
ABEV3,ABEV3.SA,AMBEV,2.767,2016,2024,12.390628,11.526866,-6.9711,OK
WEGE3,WEGE3.SA,WEG,2.608,2016,2024,4.883017,51.985863,964.626,OK
ITSA4,ITSA4.SA,ITAUSA,2.295,2016,2024,2.35065,8.029779,241.5983,OK
RENT3,RENT3.SA,LOCALIZA,2.256,2016,2024,6.160565,31.381266,409.3894,OK
PRIO3,PRIO3.SA,PETRORIO,1.961,2016,2024,0.244607,40.150002,16314.0772,OK
SUZB3,SUZB3.SA,SUZANO,1.805,2016,2024,17.371145,61.779999,255.6472,OK
BPAC11,BPAC11.SA,BTG PACTUAL,1.786,2016,2024,,26.64813232421875,,FALHA_PRECO
EQTL3,EQTL3.SA,EQUATORIAL,1.746,2016,2024,5.723183,26.790541,368.1056,OK
RADL3,RADL3.SA,RAIADROGASIL,1.676,2016,2024,6.184233,21.746645,251.6466,OK
RDOR3,RDOR3.SA,REDE D'OR,1.383,2016,2024,,25.116308212280273,,FALHA_PRECO
RAIL3,RAIL3.SA,RUMO,1.362,2016,2024,5.926149,17.097792,188.5144,OK
GGBR4,GGBR4.SA,GERDAU PN,1.212,2016,2024,2.375277,17.754623,647.476,OK
VBBR3,VBBR3.SA,VIBRA,1.115,2016,2024,,17.045059204101562,,FALHA_PRECO
JBSS3,JBSS3.SA,JBS,1.104,2016,2024,,,,FALHA_PRECO
UGPA3,UGPA3.SA,ULTRAPAR,1.087,2016,2024,10.515473,15.173102,44.2931,OK
BBSE3,BBSE3.SA,BBSEGURIDADE,1.061,2016,2024,11.73095,32.200459,174.4915,OK
SBSP3,SBSP3.SA,SABESP,1.038,2016,2024,14.853221,85.627159,476.4888,OK
